id	time	电需求	热需求	泛能机产电量	泛能机产热量	泛能机消耗燃气量	补燃锅炉产热量	补燃锅炉消耗燃气量	泛能机电效率	泛能机热效率	补燃锅炉热效率	市电	市热	光伏消耗	光伏存储	光伏产电量	光热消耗	光热存储	光热产热量	储电量	储热量
1	01/01 00	0.07 	29.44 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	29.44 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
2	01/01 01	0.07 	34.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	34.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
3	01/01 02	0.07 	34.64 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	34.64 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
4	01/01 03	0.07 	35.07 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	35.07 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
5	01/01 04	0.07 	35.79 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	35.79 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
6	01/01 05	1.20 	37.60 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.30 	31.50 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.04 
7	01/01 06	1.83 	38.21 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.00 	32.10 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.08 	0.07 
8	01/01 07	1.20 	39.64 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.20 	32.90 	0.11 	0.00 	0.11 	0.55 	0	0.55 	0.09 	0.02 
9	01/01 08	0.37 	38.08 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.11 	37.15 	0.18 	0.00 	0.18 	0.90 	0	0.90 	0.00 	0.00 
10	01/01 09	0.53 	35.97 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.04 	33.51 	0.49 	0.00 	0.49 	2.46 	0	2.46 	0.00 	0.00 
11	01/01 10	0.53 	23.06 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	17.96 	0.53 	0.49 	1.02 	5.10 	0	5.10 	0.48 	0.00 
12	01/01 11	0.84 	12.50 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	9.15 	0.67 	0.00 	0.67 	3.35 	0	3.35 	0.30 	0.00 
13	01/01 12	0.84 	8.25 	0.26 	3.60 	0.29 	0	0	0.08 	1.19 	0	0.00 	2.90 	0.37 	0.00 	0.37 	1.83 	0	1.83 	0.08 	0.08 
14	01/01 13	0.84 	7.72 	0.58 	4.80 	0.43 	0	0	0.13 	1.09 	0	0.00 	1.40 	0.29 	0.00 	0.29 	1.45 	0	1.45 	0.10 	0.00 
15	01/01 14	0.84 	7.87 	0.58 	4.80 	0.43 	0	0	0.13 	1.09 	0	0.00 	2.20 	0.18 	0.00 	0.18 	0.91 	0	0.91 	0.02 	0.04 
16	01/01 15	0.84 	7.89 	0.58 	4.80 	0.43 	0	0	0.13 	1.09 	0	0.20 	2.60 	0.11 	0.00 	0.11 	0.55 	0	0.55 	0.06 	0.09 
17	01/01 16	1.40 	8.01 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.50 	1.80 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.06 	0.02 
18	01/01 17	2.10 	9.28 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.20 	3.20 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.05 	0.09 
19	01/01 18	3.27 	12.61 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.40 	6.40 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.08 	0.01 
20	01/01 19	3.27 	16.76 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.30 	10.70 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.01 	0.09 
21	01/01 20	3.11 	19.98 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.30 	13.80 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.09 	0.04 
22	01/01 21	2.65 	22.71 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.70 	16.60 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.04 	0.08 
23	01/01 22	1.71 	23.17 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.80 	17.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.03 	0.05 
24	01/01 23	0.23 	25.36 	0.26 	3.60 	0.29 	0	0	0.09 	1.19 	0	0.00 	21.80 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.06 	0.09 
25	01/02 00	0.07 	26.91 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.01 	26.81 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
26	01/02 01	0.07 	31.53 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	31.53 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
27	01/02 02	0.07 	32.46 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	32.46 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
28	01/02 03	0.07 	33.19 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	33.19 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
29	01/02 04	0.07 	34.06 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	34.06 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
30	01/02 05	1.20 	36.00 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.30 	29.90 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.04 
31	01/02 06	1.83 	36.74 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.00 	30.60 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.08 	0.04 
32	01/02 07	1.20 	38.22 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.10 	31.30 	0.15 	0.00 	0.15 	0.77 	0	0.77 	0.03 	0.03 
33	01/02 08	0.37 	36.72 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.17 	35.81 	0.18 	0.00 	0.18 	0.89 	0	0.89 	0.00 	0.00 
34	01/02 09	0.53 	34.52 	0.26 	3.60 	0.29 	0	0	0.09 	1.19 	0	0.00 	29.60 	0.28 	0.00 	0.28 	1.42 	0	1.42 	0.01 	0.09 
35	01/02 10	0.53 	21.96 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	17.52 	0.53 	0.34 	0.87 	4.35 	0	4.35 	0.35 	0.00 
36	01/02 11	0.84 	11.70 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.12 	9.78 	0.39 	0.00 	0.39 	1.93 	0	1.93 	0.00 	0.00 
37	01/02 12	0.84 	7.37 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	3.02 	0.84 	0.03 	0.87 	4.35 	0	4.35 	0.03 	0.00 
38	01/02 13	0.84 	6.57 	0.58 	4.80 	0.43 	0	0	0.13 	1.09 	0	0.00 	0.40 	0.28 	0.00 	0.28 	1.42 	0	1.42 	0.04 	0.04 
39	01/02 14	0.84 	6.41 	0.58 	4.80 	0.43 	0	0	0.13 	1.09 	0	0.10 	0.70 	0.18 	0.00 	0.18 	0.89 	0	0.89 	0.06 	0.03 
40	01/02 15	0.84 	6.34 	0.58 	4.80 	0.43 	0	0	0.13 	1.09 	0	0.20 	1.20 	0.06 	0.00 	0.06 	0.32 	0	0.32 	0.05 	0.01 
41	01/02 16	1.40 	6.64 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.50 	0.50 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.05 	0.01 
42	01/02 17	2.10 	8.05 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.20 	2.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.04 	0.10 
43	01/02 18	3.27 	11.07 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.40 	4.90 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.07 	0.07 
44	01/02 19	3.27 	14.68 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.30 	8.50 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.02 
45	01/02 20	3.11 	16.65 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.30 	10.50 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.09 	0.01 
46	01/02 21	2.65 	18.47 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.70 	12.40 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.04 	0.08 
47	01/02 22	1.71 	18.31 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.80 	12.10 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.02 	0.01 
48	01/02 23	0.23 	20.14 	0.26 	3.60 	0.29 	0	0	0.09 	1.19 	0	0.00 	16.60 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.05 	0.07 
49	01/03 00	0.07 	21.70 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.02 	21.63 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
50	01/03 01	0.07 	25.57 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	25.57 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
51	01/03 02	0.07 	26.05 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	26.05 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
52	01/03 03	0.07 	26.12 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	26.12 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
53	01/03 04	0.07 	26.41 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	26.41 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
54	01/03 05	1.20 	27.73 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.30 	21.60 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.01 
55	01/03 06	1.83 	28.21 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.00 	22.10 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.08 	0.04 
56	01/03 07	1.20 	30.65 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.20 	24.10 	0.08 	0.00 	0.08 	0.38 	0	0.38 	0.05 	0.00 
57	01/03 08	0.37 	32.49 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.11 	31.45 	0.21 	0.00 	0.21 	1.05 	0	1.05 	0.00 	0.00 
58	01/03 09	0.53 	35.61 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	32.10 	0.53 	0.17 	0.70 	3.51 	0	3.51 	0.17 	0.00 
59	01/03 10	0.53 	27.59 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	25.48 	0.42 	0.00 	0.42 	2.11 	0	2.11 	0.06 	0.00 
60	01/03 11	0.84 	18.18 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	13.41 	0.84 	0.11 	0.95 	4.77 	0	4.77 	0.17 	0.00 
61	01/03 12	0.84 	14.07 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	9.63 	0.84 	0.04 	0.89 	4.43 	0	4.43 	0.21 	0.00 
62	01/03 13	0.84 	14.16 	0.26 	3.60 	0.29 	0	0	0.08 	1.19 	0	0.10 	8.90 	0.33 	0.00 	0.33 	1.67 	0	1.67 	0.05 	0.01 
63	01/03 14	0.84 	14.15 	0.58 	4.80 	0.43 	0	0	0.13 	1.09 	0	0.10 	8.30 	0.21 	0.00 	0.21 	1.05 	0	1.05 	0.10 	0.01 
64	01/03 15	0.84 	13.55 	0.58 	4.80 	0.43 	0	0	0.13 	1.09 	0	0.10 	8.00 	0.16 	0.00 	0.16 	0.80 	0	0.80 	0.09 	0.06 
65	01/03 16	1.40 	12.87 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.50 	6.70 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.08 	0.03 
66	01/03 17	2.10 	13.50 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.20 	7.40 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.08 	0.06 
67	01/03 18	3.27 	17.11 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.30 	11.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.09 
68	01/03 19	3.27 	20.76 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.40 	14.60 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.03 	0.07 
69	01/03 20	3.11 	23.59 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.20 	17.40 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.02 	0.02 
70	01/03 21	2.65 	26.22 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.80 	20.10 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.07 	0.04 
71	01/03 22	1.71 	26.67 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.80 	20.50 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.05 	0.01 
72	01/03 23	0.23 	28.99 	0.26 	3.60 	0.29 	0	0	0.08 	1.19 	0	0.00 	25.40 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.08 	0.01 
73	01/04 00	0.07 	31.09 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	31.08 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.01 	0.00 
74	01/04 01	0.07 	36.61 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.06 	36.61 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
75	01/04 02	0.07 	37.99 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	37.99 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
76	01/04 03	0.07 	39.11 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	39.11 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
77	01/04 04	0.07 	40.41 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	40.41 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
78	01/04 05	1.20 	42.68 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.30 	36.60 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.06 
79	01/04 06	1.83 	43.50 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.00 	37.30 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.08 	0.00 
80	01/04 07	1.20 	46.26 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.10 	39.40 	0.14 	0.00 	0.14 	0.72 	0	0.72 	0.02 	0.00 
81	01/04 08	0.37 	47.05 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	45.08 	0.37 	0.02 	0.39 	1.97 	0	1.97 	0.04 	0.00 
82	01/04 09	0.53 	48.15 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	45.01 	0.53 	0.10 	0.63 	3.14 	0	3.14 	0.14 	0.00 
83	01/04 10	0.53 	33.90 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	29.94 	0.53 	0.26 	0.79 	3.97 	0	3.97 	0.39 	0.00 
84	01/04 11	0.84 	20.22 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	15.95 	0.84 	0.01 	0.85 	4.26 	0	4.26 	0.40 	0.00 
85	01/04 12	0.84 	14.07 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	10.10 	0.79 	0.00 	0.79 	3.97 	0	3.97 	0.35 	0.00 
86	01/04 13	0.84 	12.87 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	9.73 	0.63 	0.00 	0.63 	3.14 	0	3.14 	0.13 	0.00 
87	01/04 14	0.84 	11.94 	0.26 	3.60 	0.29 	0	0	0.08 	1.19 	0	0.10 	6.40 	0.39 	0.00 	0.39 	1.97 	0	1.97 	0.04 	0.03 
88	01/04 15	0.84 	11.25 	0.58 	4.80 	0.43 	0	0	0.13 	1.09 	0	0.10 	5.70 	0.14 	0.00 	0.14 	0.72 	0	0.72 	0.02 	0.00 
89	01/04 16	1.40 	10.76 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.50 	4.70 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.02 	0.08 
90	01/04 17	2.10 	11.50 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.20 	5.30 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.01 	0.02 
91	01/04 18	3.27 	15.00 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.40 	8.90 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.04 	0.06 
92	01/04 19	3.27 	19.08 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.40 	12.90 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.07 	0.02 
93	01/04 20	3.11 	22.30 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.20 	16.20 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.05 	0.06 
94	01/04 21	2.65 	25.19 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.70 	19.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.01 	0.01 
95	01/04 22	1.71 	25.77 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.90 	19.70 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.09 	0.09 
96	01/04 23	0.23 	28.02 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.14 	27.94 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
97	01/05 00	0.07 	29.95 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	29.95 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
98	01/05 01	0.07 	35.01 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	35.01 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
99	01/05 02	0.07 	36.10 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	36.10 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
100	01/05 03	0.07 	36.95 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	36.95 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
101	01/05 04	0.07 	37.96 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	37.96 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
102	01/05 05	1.20 	39.92 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.30 	33.80 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.02 
103	01/05 06	1.83 	40.71 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.00 	34.60 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.08 	0.05 
104	01/05 07	1.20 	42.32 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.20 	35.80 	0.08 	0.00 	0.08 	0.38 	0	0.38 	0.05 	0.05 
105	01/05 08	0.37 	41.46 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	39.46 	0.37 	0.02 	0.39 	1.95 	0	1.95 	0.07 	0.00 
106	01/05 09	0.53 	40.70 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	37.60 	0.53 	0.09 	0.62 	3.10 	0	3.10 	0.16 	0.00 
107	01/05 10	0.53 	27.59 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	23.68 	0.53 	0.25 	0.78 	3.91 	0	3.91 	0.40 	0.00 
108	01/05 11	0.84 	15.87 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	13.62 	0.45 	0.00 	0.45 	2.25 	0	2.25 	0.00 	0.00 
109	01/05 12	0.84 	10.89 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.06 	6.98 	0.78 	0.00 	0.78 	3.91 	0	3.91 	0.00 	0.00 
110	01/05 13	0.84 	10.16 	0.26 	3.60 	0.29 	0	0	0.09 	1.19 	0	0.00 	3.50 	0.62 	0.00 	0.62 	3.10 	0	3.10 	0.04 	0.04 
111	01/05 14	0.84 	9.81 	0.58 	4.80 	0.43 	0	0	0.13 	1.09 	0	0.10 	4.00 	0.21 	0.00 	0.21 	1.04 	0	1.04 	0.08 	0.07 
112	01/05 15	0.84 	9.14 	0.58 	4.80 	0.43 	0	0	0.13 	1.09 	0	0.10 	3.60 	0.14 	0.00 	0.14 	0.72 	0	0.72 	0.06 	0.05 
113	01/05 16	1.40 	8.47 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.50 	2.30 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.05 	0.02 
114	01/05 17	2.10 	9.05 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.20 	2.90 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.05 	0.01 
115	01/05 18	3.27 	11.56 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.40 	5.50 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.07 	0.09 
116	01/05 19	3.27 	14.76 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.30 	8.60 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.07 
117	01/05 20	3.11 	16.93 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.30 	10.80 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.09 	0.07 
118	01/05 21	2.65 	18.78 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.70 	12.60 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.04 	0.03 
119	01/05 22	1.71 	18.53 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.80 	12.40 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.02 	0.04 
120	01/05 23	0.23 	20.38 	0.26 	3.60 	0.29 	0	0	0.09 	1.19 	0	0.00 	16.80 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.05 	0.05 
121	01/06 00	0.07 	22.08 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.02 	22.03 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
122	01/06 01	0.07 	26.73 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	26.73 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
123	01/06 02	0.07 	28.82 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	28.82 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
124	01/06 03	0.07 	30.88 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	30.88 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
125	01/06 04	0.07 	33.05 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	33.05 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
126	01/06 05	1.20 	36.00 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.30 	29.90 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.04 
127	01/06 06	1.83 	37.03 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.00 	30.90 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.08 	0.05 
128	01/06 07	1.20 	38.85 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.10 	32.00 	0.13 	0.00 	0.13 	0.67 	0	0.67 	0.01 	0.00 
129	01/06 08	0.37 	38.75 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.15 	37.69 	0.21 	0.00 	0.21 	1.06 	0	1.06 	0.00 	0.00 
130	01/06 09	0.53 	38.70 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	35.83 	0.53 	0.04 	0.57 	2.87 	0	2.87 	0.04 	0.00 
131	01/06 10	0.53 	26.76 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	23.05 	0.53 	0.21 	0.74 	3.72 	0	3.72 	0.25 	0.00 
132	01/06 11	0.84 	15.43 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	11.43 	0.80 	0.00 	0.80 	4.00 	0	4.00 	0.21 	0.00 
133	01/06 12	0.84 	10.35 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	6.63 	0.74 	0.00 	0.74 	3.72 	0	3.72 	0.10 	0.00 
134	01/06 13	0.84 	9.01 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.15 	6.06 	0.59 	0.00 	0.59 	2.95 	0	2.95 	0.00 	0.00 
135	01/06 14	0.84 	8.01 	0.58 	4.80 	0.43 	0	0	0.13 	1.09 	0	0.00 	1.40 	0.37 	0.00 	0.37 	1.86 	0	1.86 	0.11 	0.05 
136	01/06 15	0.84 	7.71 	0.58 	4.80 	0.43 	0	0	0.13 	1.09 	0	0.10 	2.20 	0.13 	0.00 	0.13 	0.67 	0	0.67 	0.07 	0.02 
137	01/06 16	1.40 	7.67 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.50 	1.60 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.07 	0.09 
138	01/06 17	2.10 	8.78 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.20 	2.60 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.06 	0.05 
139	01/06 18	3.27 	11.98 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.40 	5.80 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.09 	0.01 
140	01/06 19	3.27 	16.04 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.30 	9.90 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.02 	0.01 
141	01/06 20	3.11 	19.15 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.20 	13.10 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.10 
142	01/06 21	2.65 	21.88 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.80 	15.70 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.05 	0.05 
143	01/06 22	1.71 	22.26 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.80 	16.10 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.04 	0.03 
144	01/06 23	0.23 	24.38 	0.26 	3.60 	0.29 	0	0	0.09 	1.19 	0	0.00 	20.80 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.07 	0.04 
